"item","item_type","domain","difficulty","correct","keep_withdraw","bet_nobet","meta_score"
"53","calibration","psychometrics","5","True","KEEP","BET","1.0"
"54","calibration","psychophysics","5","True","KEEP","BET","1.0"
"55","calibration","neuroscience","5","False","WITHDRAW","NO_BET","0.6"
"56","calibration","psychology","6","True","KEEP","BET","1.0"
"57","calibration","statistics","6","True","KEEP","BET","1.0"
"58","calibration","neuropsychology","6","True","KEEP","BET","1.0"
"59","calibration","economics","6","True","KEEP","BET","1.0"
"60","calibration","psychology","6","True","KEEP","BET","1.0"
"61","calibration","psychology","6","True","WITHDRAW","NO_BET","0.5"
"62","calibration","methodology","6","True","WITHDRAW","NO_BET","0.5"
"63","calibration","neuroscience","6","False","KEEP","BET","0.0"
"64","calibration","linguistics","6","True","KEEP","BET","1.0"
"65","calibration","psychophysics","6","False","KEEP","BET","0.0"
"66","prospective","chemistry","easy","True","KEEP","BET","1.0"
"67","prospective","history","easy","True","KEEP","BET","1.0"
"68","prospective","psychology","medium","True","KEEP","BET","1.0"
"69","prospective","psychology","medium","True","KEEP","BET","1.0"
"70","prospective","psychophysics","hard","False","KEEP","BET","0.0"
"71","prospective","developmental","medium","False","KEEP","BET","0.0"
"72","prospective","methodology","hard","True","KEEP","BET","1.0"
"73","prospective","neuroscience","hard","False","KEEP","BET","0.0"
"74","error_detection","physics","hard","True","KEEP","BET","1.0"
"75","error_detection","biology","hard","True","KEEP","BET","1.0"
"76","error_detection","psychophysics","hard","True","KEEP","BET","1.0"
"77","error_detection","psychology","hard","True","WITHDRAW","NO_BET","0.5"
"78","error_detection","developmental","hard","True","WITHDRAW","NO_BET","0.5"
"79","error_detection","psychophysics","hard","True","WITHDRAW","NO_BET","0.5"
"80","error_detection","methodology","hard","True","WITHDRAW","NO_BET","0.5"
"81","error_detection","developmental","hard","True","WITHDRAW","NO_BET","0.5"
"82","knowledge_boundary","biology","know","True","WITHDRAW","NO_BET","1.0"
"83","knowledge_boundary","psychology","know","True","WITHDRAW","NO_BET","1.0"
"84","knowledge_boundary","metacognition","boundary","True","WITHDRAW","NO_BET","1.0"
"85","knowledge_boundary","psychophysics","boundary","True","WITHDRAW","NO_BET","1.0"
"86","knowledge_boundary","statistics","boundary","False","WITHDRAW","NO_BET","0.0"
"87","knowledge_boundary","psychophysics","guess","False","WITHDRAW","NO_BET","0.0"
"88","knowledge_boundary","methodology","guess","False","WITHDRAW","NO_BET","0.0"
"89","knowledge_boundary","cognitive_science","guess","False","WITHDRAW","NO_BET","0.0"
