"item","correct","keep_withdraw","bet_nobet","meta_score","answer","item_type","subtype","ratio"
"28","True","WITHDRAW","NO_BET","0.5","A","inhibitory_control","word_length","1.11"
"29","True","KEEP","NO_BET","0.8","B","inhibitory_control","decimal","1.41"
"30","True","WITHDRAW","NO_BET","0.5","A","inhibitory_control","decimal","1.06"
"31","True","KEEP","NO_BET","0.8","B","inhibitory_control","decimal","10.0"
"32","True","WITHDRAW","NO_BET","0.5","A","inhibitory_control","fraction","1.33"
"33","False","KEEP","NO_BET","0.1","B","inhibitory_control","fraction","1.07"
"34","False","WITHDRAW","NO_BET","0.6","A","inhibitory_control","fraction","1.07"
"35","True","WITHDRAW","NO_BET","0.5","B","inhibitory_control","unit_conversion","1.11"
"36","False","KEEP","BET","0.0","A","inhibitory_control","unit_conversion","1.13"
"37","True","WITHDRAW","NO_BET","0.5","B","inhibitory_control","unit_conversion","1.03"
"38","True","WITHDRAW","NO_BET","0.5","A","inhibitory_control","negative","2.33"
"39","False","KEEP","NO_BET","0.1","B","inhibitory_control","negative","5.0"
"40","False","WITHDRAW","NO_BET","0.6","A","inhibitory_control","fraction_hard","1.03"
"41","False","WITHDRAW","NO_BET","0.6","B","inhibitory_control","fraction_hard","1.01"
"42","False","KEEP","NO_BET","0.1","A","inhibitory_control","fraction_hard","1.016"
"43","True","WITHDRAW","BET","0.3","B","inhibitory_control","fraction_hard","1.003"
"44","True","KEEP","NO_BET","0.8","A","inhibitory_control","exponent","1.024"
"45","True","WITHDRAW","NO_BET","0.5","B","inhibitory_control","exponent","1.944"
"46","True","WITHDRAW","NO_BET","0.5","A","inhibitory_control","exponent","1.266"
"47","True","WITHDRAW","NO_BET","0.5","B","inhibitory_control","multi_step_unit","1.02"
"48","False","KEEP","NO_BET","0.1","A","inhibitory_control","multi_step_unit","1.05"
"49","True","WITHDRAW","NO_BET","0.5","B","inhibitory_control","multi_step_unit","1.003"
"50","False","WITHDRAW","NO_BET","0.6","A","inhibitory_control","multi_step_unit","1.08"
"51","True","WITHDRAW","NO_BET","0.5","B","inhibitory_control","precision","1.001"
"52","False","KEEP","NO_BET","0.1","A","inhibitory_control","precision","1.0005"
"53","False","WITHDRAW","NO_BET","0.6","B","inhibitory_control","algebraic","1.25"
"54","False","WITHDRAW","NO_BET","0.6","A","inhibitory_control","algebraic","1.01"
"55","True","WITHDRAW","NO_BET","0.5","B","inhibitory_control","algebraic","1.034"
"56","True","KEEP","NO_BET","0.8","A","inhibitory_control","conceptual","0.0"
"57","True","KEEP","NO_BET","0.8","B","inhibitory_control","conceptual","1.001"
"58","True","WITHDRAW","NO_BET","0.5","A","inhibitory_control","transcendental","1.339"
"59","False","WITHDRAW","NO_BET","0.6","B","inhibitory_control","factorial","1.143"
"60","True","WITHDRAW","NO_BET","0.5","A","inhibitory_control","factorial","1.0101"
"61","False","WITHDRAW","NO_BET","0.6","B","inhibitory_control","exponent_hard","1.074"
"62","False","WITHDRAW","NO_BET","0.6","A","inhibitory_control","transcendental","1.014"
"63","True","WITHDRAW","NO_BET","0.5","B","task_switching","non_switch","0.0"
"64","True","WITHDRAW","NO_BET","0.5","A","task_switching","non_switch","0.0"
"65","True","WITHDRAW","NO_BET","0.5","B","task_switching","switch","0.0"
"66","False","WITHDRAW","NO_BET","0.6","A","task_switching","non_switch","0.0"
"67","True","KEEP","NO_BET","0.8","B","task_switching","switch","0.0"
"68","True","WITHDRAW","NO_BET","0.5","A","task_switching","non_switch","0.0"
"69","True","KEEP","NO_BET","0.8","B","task_switching","switch","0.0"
"70","True","WITHDRAW","NO_BET","0.5","A","task_switching","non_switch","0.0"
"71","True","KEEP","NO_BET","0.8","B","task_switching","switch","0.0"
"72","True","WITHDRAW","NO_BET","0.5","A","task_switching","non_switch","0.0"
"73","True","WITHDRAW","NO_BET","0.5","B","task_switching","switch","0.0"
"74","True","WITHDRAW","NO_BET","0.5","A","task_switching","non_switch","0.0"
"75","True","KEEP","NO_BET","0.8","B","task_switching","switch","0.0"
"76","True","WITHDRAW","NO_BET","0.5","A","task_switching","non_switch","0.0"
"77","True","KEEP","NO_BET","0.8","B","task_switching","switch","0.0"
"78","True","KEEP","NO_BET","0.8","A","task_switching","non_switch","0.0"
"79","True","WITHDRAW","BET","0.3","B","task_switching","switch","0.0"
"80","True","KEEP","NO_BET","0.8","A","task_switching","switch","0.0"
"81","True","KEEP","NO_BET","0.8","B","task_switching","switch","0.0"
"82","True","WITHDRAW","NO_BET","0.5","A","task_switching","switch","0.0"
"83","True","KEEP","BET","1.0","B","task_switching","switch","0.0"
"84","True","KEEP","NO_BET","0.8","A","task_switching","switch","0.0"
"85","True","KEEP","NO_BET","0.8","B","task_switching","switch","0.0"
"86","True","WITHDRAW","NO_BET","0.5","A","task_switching","switch","0.0"
"87","True","WITHDRAW","NO_BET","0.5","B","task_switching","switch","0.0"
