"item","item_type","domain","difficulty","correct","keep_withdraw","bet_nobet","meta_score"
"36","calibration","statistics","4","True","WITHDRAW","NO_BET","0.5"
"37","calibration","psychology","4","True","WITHDRAW","BET","0.3"
"38","calibration","psychology","4","True","WITHDRAW","BET","0.3"
"39","calibration","statistics","4","True","WITHDRAW","BET","0.3"
"40","calibration","psychophysics","5","True","WITHDRAW","NO_BET","0.5"
"41","calibration","psychology","5","True","WITHDRAW","NO_BET","0.5"
"42","calibration","neuroscience","5","True","WITHDRAW","BET","0.3"
"43","calibration","neuroscience","5","False","WITHDRAW","NO_BET","0.6"
"44","calibration","statistics","5","True","WITHDRAW","NO_BET","0.5"
"45","calibration","developmental","5","True","WITHDRAW","NO_BET","0.5"
"46","calibration","statistics","5","True","WITHDRAW","BET","0.3"
"47","calibration","psychophysics","5","True","WITHDRAW","BET","0.3"
"48","calibration","psychophysics","5","True","WITHDRAW","BET","0.3"
"49","calibration","neuroscience","5","True","KEEP","NO_BET","0.8"
"50","calibration","psychology","5","True","KEEP","BET","1.0"
"51","calibration","psychophysics","5","True","WITHDRAW","BET","0.3"
"52","calibration","philosophy","5","True","WITHDRAW","BET","0.3"
"53","calibration","psychometrics","5","True","WITHDRAW","BET","0.3"
"54","calibration","psychophysics","5","True","WITHDRAW","BET","0.3"
"55","calibration","neuroscience","5","True","WITHDRAW","NO_BET","0.5"
"56","calibration","psychology","6","True","WITHDRAW","BET","0.3"
"57","calibration","statistics","6","True","WITHDRAW","NO_BET","0.5"
"58","calibration","neuropsychology","6","True","WITHDRAW","BET","0.3"
"59","calibration","economics","6","True","WITHDRAW","NO_BET","0.5"
"60","calibration","psychology","6","True","WITHDRAW","NO_BET","0.5"
"61","calibration","psychology","6","True","WITHDRAW","NO_BET","0.5"
"62","calibration","methodology","6","True","WITHDRAW","BET","0.3"
"63","calibration","neuroscience","6","True","WITHDRAW","BET","0.3"
"64","calibration","linguistics","6","True","WITHDRAW","BET","0.3"
"65","calibration","psychophysics","6","True","WITHDRAW","BET","0.3"
"66","prospective","chemistry","easy","True","WITHDRAW","BET","1.0"
"67","prospective","history","easy","True","WITHDRAW","BET","1.0"
"68","prospective","psychology","medium","True","WITHDRAW","BET","1.0"
"69","prospective","psychology","medium","True","WITHDRAW","BET","1.0"
"70","prospective","psychophysics","hard","True","WITHDRAW","BET","1.0"
"71","prospective","developmental","medium","True","WITHDRAW","BET","1.0"
"72","prospective","methodology","hard","True","WITHDRAW","BET","1.0"
"73","prospective","neuroscience","hard","False","WITHDRAW","BET","0.8"
"74","error_detection","physics","hard","False","WITHDRAW","BET","0.2"
"75","error_detection","biology","hard","True","WITHDRAW","BET","0.3"
"76","error_detection","psychophysics","hard","True","WITHDRAW","BET","0.3"
"77","error_detection","psychology","hard","True","WITHDRAW","NO_BET","0.5"
"78","error_detection","developmental","hard","True","WITHDRAW","NO_BET","0.5"
"79","error_detection","psychophysics","hard","True","WITHDRAW","NO_BET","0.5"
"80","error_detection","methodology","hard","True","WITHDRAW","NO_BET","0.5"
"81","error_detection","developmental","hard","True","WITHDRAW","BET","0.3"
"82","knowledge_boundary","biology","know","True","WITHDRAW","BET","1.0"
"83","knowledge_boundary","psychology","know","True","WITHDRAW","BET","1.0"
"84","knowledge_boundary","metacognition","boundary","True","WITHDRAW","BET","1.0"
"85","knowledge_boundary","psychophysics","boundary","True","WITHDRAW","BET","1.0"
"86","knowledge_boundary","statistics","boundary","True","WITHDRAW","BET","1.0"
"87","knowledge_boundary","psychophysics","guess","False","WITHDRAW","BET","0.0"
"88","knowledge_boundary","methodology","guess","False","WITHDRAW","BET","0.0"
"89","knowledge_boundary","cognitive_science","guess","False","WITHDRAW","BET","0.0"
