"item","item_type","domain","difficulty","correct","keep_withdraw","bet_nobet","meta_score"
"55","calibration","neuroscience","5","True","KEEP","NO_BET","0.8"
"56","calibration","psychology","6","True","KEEP","BET","1.0"
"57","calibration","statistics","6","False","WITHDRAW","NO_BET","0.6"
"58","calibration","neuropsychology","6","True","KEEP","BET","1.0"
"59","calibration","economics","6","True","KEEP","BET","1.0"
"60","calibration","psychology","6","True","KEEP","NO_BET","0.8"
"61","calibration","psychology","6","True","KEEP","BET","1.0"
"62","calibration","methodology","6","True","KEEP","BET","1.0"
"63","calibration","neuroscience","6","True","WITHDRAW","NO_BET","0.5"
"64","calibration","linguistics","6","True","KEEP","BET","1.0"
"65","calibration","psychophysics","6","False","WITHDRAW","NO_BET","0.6"
"66","prospective","chemistry","easy","True","WITHDRAW","NO_BET","1.0"
"67","prospective","history","easy","True","WITHDRAW","NO_BET","1.0"
"68","prospective","psychology","medium","True","WITHDRAW","NO_BET","1.0"
"69","prospective","psychology","medium","True","WITHDRAW","NO_BET","1.0"
"70","prospective","psychophysics","hard","True","WITHDRAW","NO_BET","1.0"
"71","prospective","developmental","medium","False","WITHDRAW","NO_BET","0.0"
"72","prospective","methodology","hard","True","WITHDRAW","NO_BET","1.0"
"73","prospective","neuroscience","hard","False","WITHDRAW","NO_BET","0.0"
"74","error_detection","physics","hard","True","KEEP","BET","1.0"
"75","error_detection","biology","hard","True","KEEP","BET","1.0"
"76","error_detection","psychophysics","hard","True","KEEP","BET","1.0"
"77","error_detection","psychology","hard","True","KEEP","BET","1.0"
"78","error_detection","developmental","hard","True","WITHDRAW","NO_BET","0.5"
"79","error_detection","psychophysics","hard","True","KEEP","BET","1.0"
"80","error_detection","methodology","hard","True","WITHDRAW","NO_BET","0.5"
"81","error_detection","developmental","hard","True","WITHDRAW","NO_BET","0.5"
"82","knowledge_boundary","biology","know","True","WITHDRAW","NO_BET","1.0"
"83","knowledge_boundary","psychology","know","True","WITHDRAW","NO_BET","0.6"
"84","knowledge_boundary","metacognition","boundary","False","WITHDRAW","NO_BET","0.4"
"85","knowledge_boundary","psychophysics","boundary","True","WITHDRAW","NO_BET","1.0"
"86","knowledge_boundary","statistics","boundary","True","WITHDRAW","NO_BET","1.0"
"87","knowledge_boundary","psychophysics","guess","False","WITHDRAW","NO_BET","0.0"
"88","knowledge_boundary","methodology","guess","False","WITHDRAW","NO_BET","0.4"
"89","knowledge_boundary","cognitive_science","guess","False","WITHDRAW","NO_BET","0.0"
