"item","correct","keep_withdraw","bet_nobet","meta_score","answer","item_type","subtype","ratio"
"70","True","KEEP","BET","1.0","A","task_switching","non_switch","0.0"
"71","True","KEEP","BET","1.0","B","task_switching","switch","0.0"
"72","True","KEEP","BET","1.0","A","task_switching","non_switch","0.0"
"73","True","KEEP","BET","1.0","B","task_switching","switch","0.0"
"74","True","KEEP","BET","1.0","A","task_switching","non_switch","0.0"
"75","True","KEEP","BET","1.0","B","task_switching","switch","0.0"
"76","True","KEEP","NO_BET","0.8","A","task_switching","non_switch","0.0"
"77","True","KEEP","BET","1.0","B","task_switching","switch","0.0"
"78","True","KEEP","BET","1.0","A","task_switching","non_switch","0.0"
"79","True","KEEP","BET","1.0","B","task_switching","switch","0.0"
"80","True","KEEP","BET","1.0","A","task_switching","switch","0.0"
"81","True","KEEP","BET","1.0","B","task_switching","switch","0.0"
"82","True","KEEP","BET","1.0","A","task_switching","switch","0.0"
"83","True","KEEP","BET","1.0","B","task_switching","switch","0.0"
"84","True","KEEP","BET","1.0","A","task_switching","switch","0.0"
"85","True","KEEP","BET","1.0","B","task_switching","switch","0.0"
"86","True","KEEP","BET","1.0","A","task_switching","switch","0.0"
"87","True","KEEP","BET","1.0","B","task_switching","switch","0.0"
