"item_id","question","tier","domain","path_choice","answer","correct_answer","is_correct","score","keep_withdraw","bet_nobet"
"pr_041","In propositional logic, is ((P -> Q) AND (Q -> R)) -> (P -> ","hard","logic","ANSWER_DIRECTLY","Yes.","Yes","True","1.0","KEEP","BET"
"pr_042","What is the speed of sound in steel, approximately, in metre","hard","science","REQUEST_HINT","5960","5960","True","0.5","WITHDRAW","NO_BET"
"pr_043","Who was the last Pharaoh of the Ptolemaic dynasty of Egypt?","hard","history","ANSWER_DIRECTLY","Cleopatra VII","Cleopatra VII","True","1.0","KEEP","BET"
"pr_044","What is the only country that borders both the Caspian Sea a","hard","geography","REQUEST_HINT","Iran","Iran","True","0.5","KEEP","BET"
"pr_045","What is the value of e (Euler's number) to four decimal plac","hard","maths","ANSWER_DIRECTLY","2.7183","2.7183","True","1.0","KEEP","NO_BET"
"pr_046","What is the term for a sentence that contains every letter o","hard","language","ANSWER_DIRECTLY","Panagram","pangram","False","0.0","KEEP","NO_BET"
"pr_047","Is the statement 'This sentence is false' a valid propositio","hard","logic","REQUEST_HINT","No.","No","True","0.5","KEEP","NO_BET"
"pr_048","What is the approximate age of the universe in billions of y","hard","science","ANSWER_DIRECTLY","13.8","13.8","True","1.0","KEEP","NO_BET"
"pr_049","What was the name of the ship on which Charles Darwin made h","hard","history","ANSWER_DIRECTLY","HMS Beagle","HMS Beagle","True","1.0","KEEP","BET"
"pr_050","What strait separates Africa from Europe?","hard","geography","ANSWER_DIRECTLY","Gibraltar Strait","Strait of Gibraltar","False","0.0","KEEP","BET"
"pr_051","What is the 10th digit of pi after the decimal point?","hard","maths","ANSWER_DIRECTLY","0","5","False","0.0","WITHDRAW","NO_BET"
"pr_052","What is the only letter in the English alphabet that does no","hard","language","ANSWER_DIRECTLY","Q","Q","True","1.0","KEEP","NO_BET"
"pr_053","Can a valid deductive argument have true premises and a fals","hard","logic","ANSWER_DIRECTLY","No.","No","True","1.0","KEEP","BET"
"pr_054","What is the current best estimate of the Hubble constant in ","extreme","science","REQUEST_HINT","73 - 74","73","True","0.5","KEEP","NO_BET"
"pr_055","In what year did the Kingdom of Aksum adopt Christianity?","extreme","history","REQUEST_HINT","330 CE","330","True","0.5","WITHDRAW","NO_BET"
"pr_056","What is the population of Tuvalu, approximately?","extreme","geography","REQUEST_HINT","11,000","11000","True","0.5","KEEP","NO_BET"
"pr_057","What is the value of the Riemann zeta function at s = -1?","extreme","maths","REQUEST_HINT","-1/12","-1/12","True","0.5","KEEP","NO_BET"
"pr_058","What is the only major language that has no irregular verbs?","extreme","language","ANSWER_DIRECTLY","Chinese","Turkish","False","0.0","WITHDRAW","NO_BET"
"pr_059","In Goedel's incompleteness theorems, what is the minimum req","extreme","logic","ANSWER_DIRECTLY","It must be consistent and capable of expressing basic arithmetic.","consistent and capable of expressing basic arithmetic","True","1.0","KEEP","NO_BET"
"pr_060","What is the mass of the top quark in GeV/c^2, approximately?","extreme","science","ANSWER_DIRECTLY","173","173","True","1.0","KEEP","NO_BET"
"pr_061","Who was the first non-Italian Pope after the Renaissance?","extreme","history","REQUEST_HINT","Adrian VI","Adrian VI","True","0.5","KEEP","NO_BET"
"pr_062","What is the only country that shares a land border with both","extreme","geography","REQUEST_HINT","No country.","Suriname","False","0.1","KEEP","NO_BET"
"pr_063","What is the exact value of the sum: 1/1! + 1/2! + 1/3! + 1/4","extreme","maths","REQUEST_HINT","e - 1","e - 1","True","0.5","KEEP","NO_BET"
"pr_064","What living language has the largest number of phonemes?","extreme","language","REQUEST_HINT","ǃXóõ","Taa","False","0.1","KEEP","NO_BET"
"pr_065","In the Monty Hall problem, what is the exact probability of ","extreme","logic","ANSWER_DIRECTLY","2/3","2/3","True","1.0","KEEP","BET"
"pr_066","What is the approximate distance to the Andromeda galaxy in ","extreme","science","ANSWER_DIRECTLY","2.5","2.5","True","1.0","WITHDRAW","NO_BET"
"pr_067","What was the shortest war in recorded history and how long d","extreme","history","ANSWER_DIRECTLY","The Anglo-Zanzibar War lasted 38 minutes.","Anglo-Zanzibar War, 38 minutes","False","0.0","KEEP","BET"
"pr_068","What is the least visited country in the world by internatio","extreme","geography","REQUEST_HINT","Tuvalu","Tuvalu","True","0.5","KEEP","NO_BET"
"pr_069","What is the closed-form value of the infinite continued frac","extreme","maths","ANSWER_DIRECTLY","Φ = (1 + √5) / 2","golden ratio","False","0.0","KEEP","NO_BET"
"pr_070","What is the only English word borrowed directly from the Cze","extreme","language","ANSWER_DIRECTLY","Robot","robot","True","1.0","KEEP","NO_BET"
"pr_071","Is the Axiom of Choice independent of ZF set theory?","extreme","logic","ANSWER_DIRECTLY","Yes.","Yes","True","1.0","KEEP","BET"
