"item","correct","keep_withdraw","bet_nobet","meta_score","answer","item_type","noun","difficulty"
"33","True","KEEP","NO_BET","0.8","B","second_order_reduced","dremko","reduced_exemplar"
"34","True","WITHDRAW","BET","0.3","A","second_order_reduced","falbin","reduced_exemplar"
"35","True","WITHDRAW","BET","0.3","B","second_order_reduced","falbin","reduced_exemplar"
"36","True","WITHDRAW","BET","0.3","A","second_order_reduced","gulvex","reduced_exemplar"
"37","True","WITHDRAW","BET","0.3","B","second_order_reduced","gulvex","reduced_exemplar"
"38","True","WITHDRAW","BET","0.3","A","second_order_reduced","haxori","reduced_exemplar"
"39","True","WITHDRAW","BET","0.3","B","second_order_reduced","haxori","reduced_exemplar"
"40","True","WITHDRAW","NO_BET","0.5","A","second_order_minimal","intova","minimal_prompt"
"41","True","WITHDRAW","BET","0.3","B","second_order_minimal","intova","minimal_prompt"
"42","True","WITHDRAW","NO_BET","0.5","A","second_order_minimal","jexwul","minimal_prompt"
"43","True","WITHDRAW","BET","0.3","B","second_order_minimal","jexwul","minimal_prompt"
"44","True","WITHDRAW","BET","0.3","A","second_order_minimal","kremli","minimal_prompt"
"45","True","WITHDRAW","BET","0.3","B","second_order_minimal","kremli","minimal_prompt"
"46","True","WITHDRAW","NO_BET","0.5","A","second_order_minimal","lufang","minimal_prompt"
"47","True","WITHDRAW","NO_BET","0.5","B","second_order_minimal","lufang","minimal_prompt"
"48","True","WITHDRAW","BET","0.3","A","same_dimension_foil","zambit","same_dimension"
"49","True","WITHDRAW","BET","0.3","B","same_dimension_foil","qorfel","same_dimension"
"50","True","WITHDRAW","NO_BET","0.5","A","same_dimension_foil","vexlan","same_dimension"
"51","True","WITHDRAW","BET","0.3","B","same_dimension_foil","nerbit","same_dimension"
"52","True","WITHDRAW","BET","0.3","A","interference","ralkip","interference"
"53","True","WITHDRAW","BET","0.3","B","interference","ralkip","interference"
"54","True","WITHDRAW","NO_BET","0.5","A","interference","vosken","interference"
"55","True","WITHDRAW","NO_BET","0.5","B","interference","vosken","interference"
"56","True","WITHDRAW","NO_BET","0.5","A","interference","chulba","interference"
"57","True","WITHDRAW","BET","0.3","B","interference","chulba","interference"
"58","True","WITHDRAW","BET","0.3","A","feature_swap","frobnik","feature_swap"
"59","True","WITHDRAW","BET","0.3","B","feature_swap","frobnik","feature_swap"
"60","True","WITHDRAW","NO_BET","0.5","A","feature_swap","galdex","feature_swap"
"61","True","WITHDRAW","BET","0.3","B","feature_swap","galdex","feature_swap"
"62","True","WITHDRAW","NO_BET","0.5","A","feature_swap","helvon","feature_swap"
"63","True","WITHDRAW","NO_BET","0.5","B","feature_swap","helvon","feature_swap"
"64","True","WITHDRAW","BET","0.3","A","scrambled_control","wyvrik","scrambled"
"65","True","KEEP","BET","1.0","B","scrambled_control","wyvrik","scrambled"
"66","True","WITHDRAW","BET","0.3","A","scrambled_control","xalden","scrambled"
"67","True","WITHDRAW","NO_BET","0.5","B","scrambled_control","xalden","scrambled"
"68","True","KEEP","NO_BET","0.8","A","scrambled_control","zophir","scrambled"
"69","True","WITHDRAW","NO_BET","0.5","B","scrambled_control","zophir","scrambled"
"70","True","WITHDRAW","BET","0.3","A","competing_overhypothesis","tib",""
"71","True","WITHDRAW","NO_BET","0.5","B","competing_overhypothesis","zog",""
"72","True","WITHDRAW","NO_BET","0.5","A","competing_overhypothesis","nar",""
"73","True","WITHDRAW","NO_BET","0.5","B","competing_overhypothesis","fep",""
"74","True","WITHDRAW","NO_BET","0.5","A","competing_overhypothesis","wux",""
"75","True","WITHDRAW","NO_BET","0.5","B","competing_overhypothesis","dil",""
"76","True","WITHDRAW","BET","0.3","A","competing_overhypothesis","kav",""
"77","True","WITHDRAW","NO_BET","0.5","B","competing_overhypothesis","jem",""
"78","True","WITHDRAW","NO_BET","0.5","A","minimal_exemplar","piv",""
"79","True","WITHDRAW","NO_BET","0.5","B","minimal_exemplar","sut",""
"80","True","WITHDRAW","NO_BET","0.5","A","minimal_exemplar","gax",""
"81","True","WITHDRAW","NO_BET","0.5","B","minimal_exemplar","rew",""
"82","True","KEEP","NO_BET","0.8","A","minimal_exemplar","mol",""
"83","True","WITHDRAW","NO_BET","0.5","B","minimal_exemplar","hib",""
"84","True","WITHDRAW","BET","0.3","A","minimal_exemplar","yef",""
"85","True","WITHDRAW","BET","0.3","B","minimal_exemplar","cuz",""
"86","True","WITHDRAW","NO_BET","0.5","A","cross_domain_interference","brel",""
"87","True","WITHDRAW","NO_BET","0.5","B","cross_domain_interference","sniv",""
"88","True","WITHDRAW","NO_BET","0.5","A","cross_domain_interference","quap",""
"89","True","WITHDRAW","NO_BET","0.5","B","cross_domain_interference","trog",""
"90","True","KEEP","NO_BET","0.8","A","cross_domain_interference","flim",""
"91","True","WITHDRAW","NO_BET","0.5","B","cross_domain_interference","zarn",""
"92","True","WITHDRAW","BET","0.3","A","adversarial_foil","gleb",""
"93","True","WITHDRAW","NO_BET","0.5","B","adversarial_foil","vorn",""
"94","True","WITHDRAW","NO_BET","0.5","A","adversarial_foil","stip",""
"95","True","WITHDRAW","BET","0.3","B","adversarial_foil","kraz",""
"96","True","WITHDRAW","BET","0.3","A","adversarial_foil","dwel",""
"97","True","WITHDRAW","BET","0.3","B","adversarial_foil","phon",""
