"item","correct","keep_withdraw","bet_nobet","meta_score","answer","item_type","subtype","domain","stimulus_id"
"49","True","WITHDRAW","NO_BET","0.5","B","attentional_capture","distractor_resistance","general","capture_49"
"50","True","WITHDRAW","NO_BET","0.5","A","hard_capture","topical_distractor","general","hard_capture_50"
"51","True","WITHDRAW","NO_BET","0.5","B","hard_capture","topical_distractor","general","hard_capture_51"
"52","True","WITHDRAW","NO_BET","0.5","A","hard_capture","topical_distractor","general","hard_capture_52"
"53","True","WITHDRAW","NO_BET","0.5","B","hard_capture","topical_distractor","general","hard_capture_53"
"54","True","WITHDRAW","NO_BET","0.5","A","hard_capture","topical_distractor","general","hard_capture_54"
"55","True","WITHDRAW","NO_BET","0.5","B","inhibition_of_return","interpretation_reversal","lexical","ior_55"
"56","True","WITHDRAW","NO_BET","0.5","A","inhibition_of_return","interpretation_reversal","lexical","ior_56"
"57","True","WITHDRAW","NO_BET","0.5","B","inhibition_of_return","interpretation_reversal","lexical","ior_57"
"58","True","WITHDRAW","NO_BET","0.5","A","inhibition_of_return","interpretation_reversal","lexical","ior_58"
"59","True","WITHDRAW","NO_BET","0.5","B","inhibition_of_return","interpretation_reversal","lexical","ior_59"
